MATCH;A;THETA;D
1;0.75796115;0.43922123;1.4257816
1;0.62580413;24.304127;3.7959034
1;0.50950927;23.312250;2.7789936
1;0.83073658;50.941727;3.0835445
1;1.3192223;23.986486;2.4419386
0;12.678349;5.8620291;2.3547921
1;0.52106047;2.7182581;1.7428074
1;0.95345843;0.53232032;1.3308408
1;1.4856220;6.8115730;0.45212218
1;1.2252792;3.5772638;1.3118178
0;12.003000;0.083686687;1.4562535
1;0.24920635;0.84419125;1.7097815
1;0.47046015;0.97142822;1.1929132
1;8.3599491;5.4242673;4.4328971
1;2.9616451;0.78454345;0.94814414
1;11.204264;17.401773;8.9075279
0;4.5541902;1.0679362;15.507530
0;7.7704577;24.246666;13.525890
1;0.84013247;2.5992546;1.8820664
1;1.1485046;0.94424075;1.9269887
0;4.4427066;57.664715;2.1510158
1;3.9212563;10.425986;0.97137505
1;2.4181309;15.594707;1.2343627
0;15.604145;2.5868332;1.4297155
1;1.9880872;12.545762;1.2701172
1;1.7189592;2.9175749;1.5872612
1;0.73730952;8.1685963;1.6950523
1;0.61721003;3.8632138;1.1263530
1;1.6403245;13.101732;0.57085049
1;2.1028018;2.8494420;0.39639202
0;7.0551744;74.840691;0.70764107
0;5.9991322;4.0912070;1.2225541
1;1.5423094;2.2816899;4.8355861
1;1.0038930;8.3191299;3.1822417
1;2.4214265;9.0684948;0.96603239
1;2.3922732;6.8649683;1.2262239
1;0.92626393;1.3467722;2.1064188
1;0.64145601;2.2755096;1.2260783
1;1.1723204;0.027679026;3.0774422
1;8.8656349;7.7488866;5.4472294
1;1.1997733;5.0634818;2.8632638
0;9.5044661;40.022675;0.79366845
0;7.8237963;26.497808;3.0871542
1;2.1623774;11.620214;2.0085840
1;0.11256708;11.067790;0.75010788
1;0.62468094;3.3579936;1.2003623
1;0.75198525;5.5171399;0.51482546
1;1.3495338;9.3065577;1.3123890
1;4.6763406;11.617090;1.2068222
1;2.0369081;10.810464;1.2785499
1;0.27863395;9.8284540;1.4384392
0;11.076289;83.017509;1.2113554
1;0.38703567;15.418389;1.4856198
0;11.151575;87.776039;1.4111068
0;9.9232950;89.307320;1.0957440
0;3.7139010;17.181137;0.86685592
0;7.3576155;21.352207;6.1684375
0;6.3753405;48.382706;4.0078597
1;0.44198048;1.2179348;1.2897619
0;5.9863901;73.408340;3.8921690
0;5.9393387;16.770632;2.8676152
0;6.1964931;32.881611;0.74383032
0;6.2273355;58.590324;1.1246191
0;5.8380504;59.871838;1.5849121
0;7.3903584;51.060066;2.2528913
0;5.3987551;67.020195;0.90594846
1;0.90793037;1.3319814;0.77645159
0;17.867811;86.685883;1.7041843
1;2.3538587;4.0326238;0.77922350
0;5.3899074;7.4512177;9.6586380
0;7.8433366;0.34326580;6.3141727
1;0.55344284;4.4906726;1.2333933
1;0.058863141;2.7483175;0.27423069
1;0.79966611;4.7051754;0.42769659
0;7.0951376;10.628741;1.8227888
1;0.19525222;2.0509393;1.5006596
0;2.7075729;32.492889;3.0402739
0;4.7919784;28.872568;3.1596351
0;6.0818300;10.086571;3.1585333
0;7.0729709;13.861665;2.3910272
0;4.9216595;44.772926;3.2062364
1;0.17675899;0.82370180;0.44776553
1;1.6975588;16.450907;0.68527675
1;1.4915106;8.7294426;0.92678535
1;3.0899456;1.1728327;0.36473829
0;6.9029727;26.003529;0.33321774
1;0.64943707;6.2731962;6.1923976
1;2.3310723;18.611168;1.2037603
0;7.2717524;63.420483;0.49198818
1;0.39389950;0.49574566;0.62811351
1;2.4938834;5.5800362;1.0986288
0;5.8501730;27.687492;0.42574194
1;2.8902636;1.9380648;1.0162591
0;6.8541169;62.881332;0.60539514
0;5.7003756;71.575134;0.55379403
1;0.91326028;23.264797;0.52012724
0;11.933050;0.97939527;1.9171230
1;0.10763573;0.13081658;1.4433341
1;9.0902233;1.0453557;5.7519112
1;0.29800421;3.0013757;1.3942945
1;3.9883566;4.8989625;1.2048975
1;0.78049701;1.6693443;1.9303944
1;5.9883084;1.8699398;1.0054165
1;1.0648286;1.5244527;1.0199496
1;0.23453985;0.48411465;1.1620163
1;1.8388190;1.9103285;1.2921200
1;2.1668794;0.71046335;1.0643663
0;6.2196312;31.859488;2.2511358
0;5.9878058;70.878632;3.6659322
0;7.1302381;12.242647;1.4454679
1;2.4235108;4.6284094;0.69213247
0;6.1011891;13.330255;7.2953787
0;8.2593193;5.8812156;5.6095743
1;0.75745451;1.9568969;0.48491094
0;4.6950092;53.027706;1.2415349
1;1.5254650;16.292334;0.87268835
1;1.3536295;8.3334875;1.0956827
1;2.1323736;23.354778;1.5003853
1;1.0294110;9.3289690;1.5801780
1;2.1263764;2.4537952;1.2716337
0;5.4190707;26.880011;0.30414921
1;2.6994262;2.7421460;1.0366656
1;8.4023190;2.4541113;5.2160997
1;1.2835997;8.4759283;2.3288925
1;2.2160759;2.9978323;0.42070091
0;5.0196013;35.319588;0.86578286
0;10.478709;2.0906725;1.5455022
1;2.7258074;1.0997241;0.36580539
0;10.916501;74.729767;0.53017575
1;0.75087792;4.0312614;0.92055434
0;9.9381676;76.950714;13.910348
0;9.5071983;68.855499;11.439090
0;4.5630722;1.7518090;6.7591820
0;5.9969554;5.8786583;4.6672592
1;2.3715270;6.1383257;0.69391274
1;3.4668922;3.3765552;0.95218039
1;4.5337210;2.3408730;0.60393214
0;6.6287818;83.300575;0.84806299
1;1.6467900;13.040047;0.84278214
1;0.69084722;22.284611;0.86377180
1;1.5300437;24.007616;0.54154885
0;6.2436352;84.663116;1.1305004
0;7.0428247;2.2608070;2.3837955
0;4.1950426;36.587326;0.28902605
1;19.985029;3.9991243;2.4632685
0;12.559936;0.72260040;0.41290766
0;8.3954744;19.167953;0.86097854
1;3.3083906;2.5632126;2.1999149
1;3.5130386;0.80688190;2.6021490
0;15.533039;81.431068;14.269369
0;9.3374586;64.128838;11.621809
0;5.3687897;36.201145;0.57957399
0;3.8793590;56.317421;1.1460638
0;13.088739;5.0675793;1.3526082
0;4.8876553;26.587795;0.77167839
1;4.0318284;27.102228;4.9828854
1;1.4051607;11.586626;1.7671902
0;7.8233733;31.588715;3.6893754
1;0.71804792;4.0182614;0.98209447
0;11.163936;3.2925601;2.8078451
1;1.1693485;3.5147657;0.29640782
1;2.3605878;1.5825317;1.1710322
0;2.5839317;26.910103;0.97649854
0;4.6243024;23.291674;0.89207721
1;0.35375610;0.28746492;0.29706293
1;1.3478932;0.17006809;1.0441298
0;2.3335516;11.576077;1.8731141
1;0.36664647;7.0657988;0.24028610
1;0.44355732;2.4069586;0.71466774
0;9.6783724;65.933769;2.1348212
1;0.44270846;0.60314471;3.4837878
1;4.0297446;6.0585518;1.3108704
1;1.8404064;2.5380220;0.55285990
0;2.7151494;34.820900;1.0472702
0;3.3055170;29.675428;0.78924030
0;8.1783752;12.900472;2.5373282
0;6.2707634;5.9863420;1.8628503
1;1.3040702;7.8367562;0.38838881
0;2.4114966;47.338837;0.35232323
0;3.0819950;67.719208;1.3688847
0;6.0589008;88.833893;0.56866467
1;33.430157;15.320385;0.76600295
1;0.31294256;7.2681489;1.4900315
1;0.37849486;8.7927589;1.4813343
1;1.4181778;19.143412;1.2695150
0;10.603133;15.070465;1.0291265
0;8.1761665;25.792870;0.93375403
1;5.5152898;2.2766349;0.92711067
1;1.1592448;4.1197920;0.93241423
1;1.8330679;1.7181972;1.6195748
0;15.895850;8.6226540;2.5414100
0;2.0762973;20.524578;1.4042622
0;0.30337739;44.868420;0.94534129
1;1.5335289;23.930546;1.4183826
1;0.70076752;9.5013561;0.47949380
0;7.7553573;0.0077323709;0.60331160
1;4.0082831;31.780680;0.89753050
0;1.3405873;46.173748;1.1029181
